complTime,nM,nR,Mavg,Mmax,Ravg,Rmax,SHavg,SHmax,dataSize,nCores
175412,287,300,61733,88546,3755,9948,27686,69130,360014110,120
77999,287,300,19059,31874,2017,3220,16642,44257,360014110,120
71660,287,300,19700,33117,2093,3612,12102,37048,360014110,120
122963,287,300,24203,81050,1872,3035,37552,88118,360014110,120
87828,287,300,18764,31476,1999,3381,22458,51865,360014110,120
69705,287,300,19338,30846,2096,3340,11647,35853,360014110,120
97446,287,300,22443,39612,1826,3049,24692,62842,360014110,120
67965,287,300,18449,30514,2000,3531,11731,33381,360014110,120
72373,287,300,19834,32182,1941,3462,11381,35230,360014110,120
134191,287,300,25782,83427,1744,3049,42746,98128,360014110,120
71527,287,300,19518,31792,2067,3659,11226,35400,360014110,120
80067,287,300,20134,30459,1974,3195,16254,45490,360014110,120
86982,287,300,20569,38320,2013,3350,17318,42707,360014110,120
69076,287,300,19785,32243,2080,3560,11135,34669,360014110,120
83205,287,300,18561,31132,1961,3174,19276,48435,360014110,120
107086,287,300,23474,77173,1868,2994,29920,73201,360014110,120
118980,287,300,18972,32954,1842,2878,40843,84238,360014110,120
97089,287,300,19483,32360,1876,2909,28539,64515,360014110,120
78150,287,300,19399,33450,1932,3165,16289,42463,360014110,120
66480,287,300,18973,30821,1998,3431,10350,32676,360014110,120
